Date,interconn_fra,interconn_fra_lag1,interconn_fra_lag2,interconn_fra_lag3,interconn_fra_lag4,interconn_fra_lag5,interconn_fra_lag6,interconn_fra_lag7,interconn_fra_lag8,interconn_fra_lag9,interconn_fra_lag10,interconn_fra_lag11,interconn_fra_lag12,interconn_fra_lag13,interconn_fra_lag14,interconn_fra_lag15
2023-02-11,-51801.593,-41719.757,-35453.624999999985,-32088.0,-35091.45499999999,-41522.44900000001,-58266.943,-50667.69700000001,-9499.386,-22639.077,-30893.048999999995,-37518.93099999999,-34487.124,-42909.565,-46447.329,-37267.412
2023-02-12,-48144.171,-51801.593,-41719.757,-35453.624999999985,-32088.0,-35091.45499999999,-41522.44900000001,-58266.943,-50667.69700000001,-9499.386,-22639.077,-30893.048999999995,-37518.93099999999,-34487.124,-42909.565,-46447.329
2023-02-13,-34928.871,-48144.171,-51801.593,-41719.757,-35453.624999999985,-32088.0,-35091.45499999999,-41522.44900000001,-58266.943,-50667.69700000001,-9499.386,-22639.077,-30893.048999999995,-37518.93099999999,-34487.124,-42909.565
2023-02-14,-41845.16899999999,-34928.871,-48144.171,-51801.593,-41719.757,-35453.624999999985,-32088.0,-35091.45499999999,-41522.44900000001,-58266.943,-50667.69700000001,-9499.386,-22639.077,-30893.048999999995,-37518.93099999999,-34487.124
2023-02-15,-22144.036000000004,-41845.16899999999,-34928.871,-48144.171,-51801.593,-41719.757,-35453.624999999985,-32088.0,-35091.45499999999,-41522.44900000001,-58266.943,-50667.69700000001,-9499.386,-22639.077,-30893.048999999995,-37518.93099999999
2023-02-16,-7974.528999999999,-22144.036000000004,-41845.16899999999,-34928.871,-48144.171,-51801.593,-41719.757,-35453.624999999985,-32088.0,-35091.45499999999,-41522.44900000001,-58266.943,-50667.69700000001,-9499.386,-22639.077,-30893.048999999995
2023-02-17,10058.126000000002,-7974.528999999999,-22144.036000000004,-41845.16899999999,-34928.871,-48144.171,-51801.593,-41719.757,-35453.624999999985,-32088.0,-35091.45499999999,-41522.44900000001,-58266.943,-50667.69700000001,-9499.386,-22639.077
2023-02-18,73326.484,10058.126000000002,-7974.528999999999,-22144.036000000004,-41845.16899999999,-34928.871,-48144.171,-51801.593,-41719.757,-35453.624999999985,-32088.0,-35091.45499999999,-41522.44900000001,-58266.943,-50667.69700000001,-9499.386
2023-02-19,22753.509,73326.484,10058.126000000002,-7974.528999999999,-22144.036000000004,-41845.16899999999,-34928.871,-48144.171,-51801.593,-41719.757,-35453.624999999985,-32088.0,-35091.45499999999,-41522.44900000001,-58266.943,-50667.69700000001
2023-02-20,19394.999000000003,22753.509,73326.484,10058.126000000002,-7974.528999999999,-22144.036000000004,-41845.16899999999,-34928.871,-48144.171,-51801.593,-41719.757,-35453.624999999985,-32088.0,-35091.45499999999,-41522.44900000001,-58266.943
2023-02-21,-25444.409,19394.999000000003,22753.509,73326.484,10058.126000000002,-7974.528999999999,-22144.036000000004,-41845.16899999999,-34928.871,-48144.171,-51801.593,-41719.757,-35453.624999999985,-32088.0,-35091.45499999999,-41522.44900000001
2023-02-22,-21364.477,-25444.409,19394.999000000003,22753.509,73326.484,10058.126000000002,-7974.528999999999,-22144.036000000004,-41845.16899999999,-34928.871,-48144.171,-51801.593,-41719.757,-35453.624999999985,-32088.0,-35091.45499999999
2023-02-23,-16649.751,-21364.477,-25444.409,19394.999000000003,22753.509,73326.484,10058.126000000002,-7974.528999999999,-22144.036000000004,-41845.16899999999,-34928.871,-48144.171,-51801.593,-41719.757,-35453.624999999985,-32088.0
2023-02-24,8313.024000000001,-16649.751,-21364.477,-25444.409,19394.999000000003,22753.509,73326.484,10058.126000000002,-7974.528999999999,-22144.036000000004,-41845.16899999999,-34928.871,-48144.171,-51801.593,-41719.757,-35453.624999999985
2023-02-25,40971.949,8313.024000000001,-16649.751,-21364.477,-25444.409,19394.999000000003,22753.509,73326.484,10058.126000000002,-7974.528999999999,-22144.036000000004,-41845.16899999999,-34928.871,-48144.171,-51801.593,-41719.757
2023-02-26,-46432.248,40971.949,8313.024000000001,-16649.751,-21364.477,-25444.409,19394.999000000003,22753.509,73326.484,10058.126000000002,-7974.528999999999,-22144.036000000004,-41845.16899999999,-34928.871,-48144.171,-51801.593
2023-02-27,-48130.934,-46432.248,40971.949,8313.024000000001,-16649.751,-21364.477,-25444.409,19394.999000000003,22753.509,73326.484,10058.126000000002,-7974.528999999999,-22144.036000000004,-41845.16899999999,-34928.871,-48144.171
